"Time","Amplitude"
"0d 00:00:00.174","1.649560E-3"
"0d 00:00:00.175","1.833285E-3"
"0d 00:00:00.176","2.046463E-3"
"0d 00:00:00.177","2.181409E-3"
"0d 00:00:00.178","2.096087E-3"
"0d 00:00:00.179","1.792776E-3"
"0d 00:00:00.180","1.466510E-3"
"0d 00:00:00.181","1.318399E-3"
"0d 00:00:00.182","1.357135E-3"
"0d 00:00:00.183","1.374689E-3"
"0d 00:00:00.184","1.162777E-3"
"0d 00:00:00.185","708.907282E-6"
"0d 00:00:00.186","214.022484E-6"
"0d 00:00:00.187","-75.363596E-6"
"0d 00:00:00.188","-116.632127E-6"
"0d 00:00:00.189","-47.682454E-6"
"0d 00:00:00.190","24.980542E-6"
"0d 00:00:00.191","103.382312E-6"
"0d 00:00:00.192","215.372784E-6"
"0d 00:00:00.193","311.750417E-6"
"0d 00:00:00.194","330.485823E-6"
"0d 00:00:00.195","318.248733E-6"
"0d 00:00:00.196","389.223855E-6"
"0d 00:00:00.197","587.802288E-6"
"0d 00:00:00.198","841.236641E-6"
"0d 00:00:00.199","1.049183E-3"
"0d 00:00:00.200","1.141172E-3"
"0d 00:00:00.201","1.068593E-3"
"0d 00:00:00.202","818.619123E-6"
"0d 00:00:00.203","439.269333E-6"
"0d 00:00:00.204","48.695179E-6"
"0d 00:00:00.205","-229.128961E-6"
"0d 00:00:00.206","-348.714868E-6"
"0d 00:00:00.207","-399.182315E-6"
"0d 00:00:00.208","-533.959092E-6"
"0d 00:00:00.209","-803.343859E-6"
"0d 00:00:00.210","-1.179655E-3"
"0d 00:00:00.211","-1.614536E-3"
"0d 00:00:00.212","-1.975910E-3"
"0d 00:00:00.213","-2.104779E-3"
"0d 00:00:00.214","-1.941815E-3"
"0d 00:00:00.215","-1.583901E-3"
"0d 00:00:00.216","-1.239744E-3"
"0d 00:00:00.217","-1.090789E-3"
"0d 00:00:00.218","-1.178305E-3"
"0d 00:00:00.219","-1.414945E-3"
"0d 00:00:00.220","-1.686524E-3"
"0d 00:00:00.221","-1.906370E-3"
"0d 00:00:00.222","-1.985531E-3"
"0d 00:00:00.223","-1.836323E-3"
"0d 00:00:00.224","-1.441698E-3"
"0d 00:00:00.225","-927.993389E-6"
"0d 00:00:00.226","-504.674470E-6"
"0d 00:00:00.227","-294.280916E-6"
"0d 00:00:00.228","-251.577691E-6"
"0d 00:00:00.229","-197.818889E-6"
"0d 00:00:00.230","26.162054E-6"
"0d 00:00:00.231","384.075838E-6"
"0d 00:00:00.232","685.699008E-6"
"0d 00:00:00.233","763.931990E-6"
"0d 00:00:00.234","569.066881E-6"
"0d 00:00:00.235","170.053354E-6"
"0d 00:00:00.236","-297.234696E-6"
"0d 00:00:00.237","-706.797439E-6"
"0d 00:00:00.238","-983.862034E-6"
"0d 00:00:00.239","-1.089523E-3"
"0d 00:00:00.240","-1.031798E-3"
"0d 00:00:00.241","-894.742262E-6"
"0d 00:00:00.242","-799.461748E-6"
"0d 00:00:00.243","-831.700150E-6"
"0d 00:00:00.244","-975.591449E-6"
"0d 00:00:00.245","-1.119398E-3"
"0d 00:00:00.246","-1.179740E-3"
"0d 00:00:00.247","-1.159232E-3"
"0d 00:00:00.248","-1.101254E-3"
"0d 00:00:00.249","-1.096781E-3"
"0d 00:00:00.250","-1.220164E-3"
"0d 00:00:00.251","-1.430220E-3"
"0d 00:00:00.252","-1.581623E-3"
"0d 00:00:00.253","-1.517737E-3"
"0d 00:00:00.254","-1.218055E-3"
"0d 00:00:00.255","-804.440977E-6"
"0d 00:00:00.256","-411.419405E-6"
"0d 00:00:00.257","-113.425165E-6"
"0d 00:00:00.258","72.241028E-6"
"0d 00:00:00.259","134.945565E-6"
"0d 00:00:00.260","98.403082E-6"
"0d 00:00:00.261","66.417861E-6"
"0d 00:00:00.262","131.316635E-6"
"0d 00:00:00.263","297.656665E-6"
"0d 00:00:00.264","485.432700E-6"
"0d 00:00:00.265","594.469392E-6"
"0d 00:00:00.266","611.685712E-6"
"0d 00:00:00.267","601.474071E-6"
"0d 00:00:00.268","635.569135E-6"
"0d 00:00:00.269","763.847596E-6"
"0d 00:00:00.270","1.001754E-3"
"0d 00:00:00.271","1.346249E-3"
"0d 00:00:00.272","1.770158E-3"
"0d 00:00:00.273","2.192718E-3"
"0d 00:00:00.274","2.488855E-3"
"0d 00:00:00.275","2.556539E-3"
"0d 00:00:00.276","2.416952E-3"
"0d 00:00:00.277","2.244620E-3"
"0d 00:00:00.278","2.256351E-3"
"0d 00:00:00.279","2.513161E-3"
"0d 00:00:00.280","2.841284E-3"
"0d 00:00:00.281","2.965764E-3"
"0d 00:00:00.282","2.702540E-3"
"0d 00:00:00.283","2.090095E-3"
"0d 00:00:00.284","1.364731E-3"
"0d 00:00:00.285","750.682175E-6"
"0d 00:00:00.286","359.854839E-6"
"0d 00:00:00.287","232.167135E-6"
"0d 00:00:00.288","314.366622E-6"
"0d 00:00:00.289","508.219006E-6"
"0d 00:00:00.290","723.844971E-6"
"0d 00:00:00.291","835.329080E-6"
"0d 00:00:00.292","731.440406E-6"
"0d 00:00:00.293","430.661174E-6"
"0d 00:00:00.294","121.189388E-6"
"0d 00:00:00.295","16.625564E-6"
"0d 00:00:00.296","107.601998E-6"
"0d 00:00:00.297","191.826935E-6"
"0d 00:00:00.298","100.681713E-6"
"0d 00:00:00.299","-184.906649E-6"
"0d 00:00:00.300","-515.730047E-6"
"0d 00:00:00.301","-726.292389E-6"
"0d 00:00:00.302","-815.749736E-6"
"0d 00:00:00.303","-859.803260E-6"
"0d 00:00:00.304","-862.335072E-6"
"0d 00:00:00.305","-764.691533E-6"
"0d 00:00:00.306","-543.326795E-6"
"0d 00:00:00.307","-310.906479E-6"
"0d 00:00:00.308","-274.110816E-6"
"0d 00:00:00.309","-528.642287E-6"
"0d 00:00:00.310","-941.749566E-6"
"0d 00:00:00.311","-1.284894E-3"
"0d 00:00:00.312","-1.448534E-3"
"0d 00:00:00.313","-1.515036E-3"
"0d 00:00:00.314","-1.666945E-3"
"0d 00:00:00.315","-2.005617E-3"
"0d 00:00:00.316","-2.447165E-3"
"0d 00:00:00.317","-2.817147E-3"
"0d 00:00:00.318","-2.982643E-3"
"0d 00:00:00.319","-2.920276E-3"
"0d 00:00:00.320","-2.721360E-3"
"0d 00:00:00.321","-2.473749E-3"
"0d 00:00:00.322","-2.169172E-3"
"0d 00:00:00.323","-1.754124E-3"
"0d 00:00:00.324","-1.252740E-3"
"0d 00:00:00.325","-795.073274E-6"
"0d 00:00:00.326","-473.701973E-6"
"0d 00:00:00.327","-284.406850E-6"
"0d 00:00:00.328","-190.307848E-6"
"0d 00:00:00.329","-171.572441E-6"
"0d 00:00:00.330","-254.193897E-6"
"0d 00:00:00.331","-446.611587E-6"
"0d 00:00:00.332","-666.541632E-6"
"0d 00:00:00.333","-773.721662E-6"
"0d 00:00:00.334","-636.413073E-6"
"0d 00:00:00.335","-223.390187E-6"
"0d 00:00:00.336","356.394697E-6"
"0d 00:00:00.337","924.870821E-6"
"0d 00:00:00.338","1.337556E-3"
"0d 00:00:00.339","1.552676E-3"
"0d 00:00:00.340","1.586602E-3"
"0d 00:00:00.341","1.456129E-3"
"0d 00:00:00.342","1.242866E-3"
"0d 00:00:00.343","1.067412E-3"
"0d 00:00:00.344","968.164802E-6"
"0d 00:00:00.345","905.375871E-6"
"0d 00:00:00.346","819.885029E-6"
"0d 00:00:00.347","673.799492E-6"
"0d 00:00:00.348","447.117950E-6"
"0d 00:00:00.349","109.121085E-6"
"0d 00:00:00.350","-308.965424E-6"
"0d 00:00:00.351","-681.226140E-6"
"0d 00:00:00.352","-868.833389E-6"
"0d 00:00:00.353","-783.258152E-6"
"0d 00:00:00.354","-440.957208E-6"
"0d 00:00:00.355","33.757490E-6"
"0d 00:00:00.356","471.085767E-6"
"0d 00:00:00.357","732.790706E-6"
"0d 00:00:00.358","819.885029E-6"
"0d 00:00:00.359","888.412733E-6"
"0d 00:00:00.360","1.058804E-3"
"0d 00:00:00.361","1.238309E-3"
"0d 00:00:00.362","1.201598E-3"
"0d 00:00:00.363","818.197154E-6"
"0d 00:00:00.364","154.271728E-6"
"0d 00:00:00.365","-598.351503E-6"
"0d 00:00:00.366","-1.215101E-3"
"0d 00:00:00.367","-1.560946E-3"
"0d 00:00:00.368","-1.631078E-3"
"0d 00:00:00.369","-1.433596E-3"
"0d 00:00:00.370","-984.621578E-6"
"0d 00:00:00.371","-347.280174E-6"
"0d 00:00:00.372","363.314982E-6"
"0d 00:00:00.373","961.582091E-6"
"0d 00:00:00.374","1.317386E-3"
"0d 00:00:00.375","1.443133E-3"
"0d 00:00:00.376","1.427435E-3"
"0d 00:00:00.377","1.317977E-3"
"0d 00:00:00.378","1.074248E-3"
"0d 00:00:00.379","699.792759E-6"
"0d 00:00:00.380","273.182485E-6"
"0d 00:00:00.381","-127.518917E-6"
"0d 00:00:00.382","-405.174269E-6"
"0d 00:00:00.383","-476.993328E-6"
"0d 00:00:00.384","-335.127478E-6"
"0d 00:00:00.385","-34.263852E-6"
"0d 00:00:00.386","349.052443E-6"
"0d 00:00:00.387","757.433673E-6"
"0d 00:00:00.388","1.154928E-3"
"0d 00:00:00.389","1.507103E-3"
"0d 00:00:00.390","1.775813E-3"
"0d 00:00:00.391","1.943334E-3"
"0d 00:00:00.392","2.010765E-3"
"0d 00:00:00.393","1.958103E-3"
"0d 00:00:00.394","1.726442E-3"
"0d 00:00:00.395","1.275611E-3"
"0d 00:00:00.396","651.013187E-6"
"0d 00:00:00.397","-53.168046E-6"
"0d 00:00:00.398","-719.540891E-6"
"0d 00:00:00.399","-1.217717E-3"
"0d 00:00:00.400","-1.451910E-3"
"0d 00:00:00.401","-1.377643E-3"
"0d 00:00:00.402","-1.036524E-3"
"0d 00:00:00.403","-554.297979E-6"
"0d 00:00:00.404","-111.568503E-6"
"0d 00:00:00.405","103.382312E-6"
"0d 00:00:00.406","20.254494E-6"
"0d 00:00:00.407","-230.816835E-6"
"0d 00:00:00.408","-399.266708E-6"
"0d 00:00:00.409","-374.286166E-6"
"0d 00:00:00.410","-301.960745E-6"
"0d 00:00:00.411","-362.977407E-6"
"0d 00:00:00.412","-614.217523E-6"
"0d 00:00:00.413","-1.012978E-3"
"0d 00:00:00.414","-1.460433E-3"
"0d 00:00:00.415","-1.842568E-3"
"0d 00:00:00.416","-2.045704E-3"
"0d 00:00:00.417","-1.989751E-3"
"0d 00:00:00.418","-1.659771E-3"
"0d 00:00:00.419","-1.126656E-3"
"0d 00:00:00.420","-569.235668E-6"
"0d 00:00:00.421","-187.354067E-6"
"0d 00:00:00.422","-73.928902E-6"
"0d 00:00:00.423","-159.926107E-6"
"0d 00:00:00.424","-249.552242E-6"
"0d 00:00:00.425","-195.540259E-6"
"0d 00:00:00.426","-50.214266E-6"
"0d 00:00:00.427","11.477546E-6"
"0d 00:00:00.428","-143.638118E-6"
"0d 00:00:00.429","-499.357665E-6"
"0d 00:00:00.430","-898.455586E-6"
"0d 00:00:00.431","-1.189783E-3"
"0d 00:00:00.432","-1.339413E-3"
"0d 00:00:00.433","-1.384395E-3"
"0d 00:00:00.434","-1.321268E-3"
"0d 00:00:00.435","-1.084797E-3"
"0d 00:00:00.436","-651.350762E-6"
"0d 00:00:00.437","-105.492155E-6"
"0d 00:00:00.438","437.919034E-6"
"0d 00:00:00.439","912.042975E-6"
"0d 00:00:00.440","1.314939E-3"
"0d 00:00:00.441","1.690997E-3"
"0d 00:00:00.442","2.004942E-3"
"0d 00:00:00.443","2.078280E-3"
"0d 00:00:00.444","1.719269E-3"
"0d 00:00:00.445","920.819923E-6"
"0d 00:00:00.446","-20.676462E-6"
"0d 00:00:00.447","-730.596469E-6"
"0d 00:00:00.448","-1.093152E-3"
"0d 00:00:00.449","-1.204889E-3"
"0d 00:00:00.450","-1.180921E-3"
"0d 00:00:00.451","-1.044035E-3"
"0d 00:00:00.452","-693.716411E-6"
"0d 00:00:00.453","-83.887362E-6"
"0d 00:00:00.454","642.067452E-6"
"0d 00:00:00.455","1.291984E-3"
"0d 00:00:00.456","1.797671E-3"
"0d 00:00:00.457","2.203689E-3"
"0d 00:00:00.458","2.519237E-3"
"0d 00:00:00.459","2.649625E-3"
"0d 00:00:00.460","2.471555E-3"
"0d 00:00:00.461","1.940296E-3"
"0d 00:00:00.462","1.196619E-3"
"0d 00:00:00.463","541.132558E-6"
"0d 00:00:00.464","216.554296E-6"
"0d 00:00:00.465","239.846964E-6"
"0d 00:00:00.466","462.646395E-6"
"0d 00:00:00.467","770.008338E-6"
"0d 00:00:00.468","1.160414E-3"
"0d 00:00:00.469","1.602215E-3"
"0d 00:00:00.470","1.945191E-3"
"0d 00:00:00.471","2.066380E-3"
"0d 00:00:00.472","1.998275E-3"
"0d 00:00:00.473","1.888310E-3"
"0d 00:00:00.474","1.870671E-3"
"0d 00:00:00.475","1.941140E-3"
"0d 00:00:00.476","1.954812E-3"
"0d 00:00:00.477","1.739439E-3"
"0d 00:00:00.478","1.204552E-3"
"0d 00:00:00.479","405.596238E-6"
"0d 00:00:00.480","-468.216381E-6"
"0d 00:00:00.481","-1.179740E-3"
"0d 00:00:00.482","-1.568795E-3"
"0d 00:00:00.483","-1.621541E-3"
"0d 00:00:00.484","-1.421697E-3"
"0d 00:00:00.485","-1.091295E-3"
"0d 00:00:00.486","-765.451077E-6"
"0d 00:00:00.487","-540.035440E-6"
"0d 00:00:00.488","-420.365139E-6"
"0d 00:00:00.489","-322.721601E-6"
"0d 00:00:00.490","-155.453240E-6"
"0d 00:00:00.491","94.014609E-6"
"0d 00:00:00.492","325.000231E-6"
"0d 00:00:00.493","354.875609E-6"
"0d 00:00:00.494","57.894095E-6"
"0d 00:00:00.495","-514.042173E-6"
"0d 00:00:00.496","-1.168178E-3"
"0d 00:00:00.497","-1.713615E-3"
"0d 00:00:00.498","-2.055240E-3"
"0d 00:00:00.499","-2.161745E-3"
"0d 00:00:00.500","-2.036758E-3"
"0d 00:00:00.501","-1.715302E-3"
"0d 00:00:00.502","-1.263880E-3"
"0d 00:00:00.503","-800.980835E-6"
"0d 00:00:00.504","-468.300775E-6"
"0d 00:00:00.505","-334.621116E-6"
"0d 00:00:00.506","-334.874297E-6"
"0d 00:00:00.507","-380.446908E-6"
"0d 00:00:00.508","-494.547223E-6"
"0d 00:00:00.509","-768.573645E-6"
"0d 00:00:00.510","-1.246327E-3"
"0d 00:00:00.511","-1.852189E-3"
"0d 00:00:00.512","-2.429527E-3"
"0d 00:00:00.513","-2.807864E-3"
"0d 00:00:00.514","-2.852845E-3"
"0d 00:00:00.515","-2.576372E-3"
"0d 00:00:00.516","-2.142757E-3"
"0d 00:00:00.517","-1.748891E-3"
"0d 00:00:00.518","-1.525417E-3"
"0d 00:00:00.519","-1.483220E-3"
"0d 00:00:00.520","-1.521028E-3"
"0d 00:00:00.521","-1.489043E-3"
"0d 00:00:00.522","-1.283629E-3"
"0d 00:00:00.523","-900.818610E-6"
"0d 00:00:00.524","-438.762971E-6"
"0d 00:00:00.525","-106.336092E-6"
"0d 00:00:00.526","-130.810272E-6"
"0d 00:00:00.527","-572.611417E-6"
"0d 00:00:00.528","-1.284219E-3"
"0d 00:00:00.529","-1.992705E-3"
"0d 00:00:00.530","-2.432396E-3"
"0d 00:00:00.531","-2.514680E-3"
"0d 00:00:00.532","-2.317536E-3"
"0d 00:00:00.533","-1.945866E-3"
"0d 00:00:00.534","-1.498242E-3"
"0d 00:00:00.535","-1.096865E-3"
"0d 00:00:00.536","-873.559437E-6"
"0d 00:00:00.537","-817.437611E-6"
"0d 00:00:00.538","-707.978951E-6"
"0d 00:00:00.539","-352.681373E-6"
"0d 00:00:00.540","207.777349E-6"
"0d 00:00:00.541","743.593102E-6"
"0d 00:00:00.542","1.034836E-3"
"0d 00:00:00.543","1.023358E-3"
"0d 00:00:00.544","759.627910E-6"
"0d 00:00:00.545","344.073213E-6"
"0d 00:00:00.546","-100.428532E-6"
"0d 00:00:00.547","-492.352986E-6"
"0d 00:00:00.548","-761.484572E-6"
"0d 00:00:00.549","-813.217925E-6"
"0d 00:00:00.550","-580.628821E-6"
"0d 00:00:00.551","-106.251699E-6"
"0d 00:00:00.552","426.272700E-6"
"0d 00:00:00.553","849.169651E-6"
"0d 00:00:00.554","1.177546E-3"
"0d 00:00:00.555","1.517906E-3"
"0d 00:00:00.556","1.880883E-3"
"0d 00:00:00.557","2.144191E-3"
"0d 00:00:00.558","2.187485E-3"
"0d 00:00:00.559","1.999456E-3"
"0d 00:00:00.560","1.680195E-3"
"0d 00:00:00.561","1.384395E-3"
"0d 00:00:00.562","1.166321E-3"
"0d 00:00:00.563","962.088454E-6"
"0d 00:00:00.564","770.092732E-6"
"0d 00:00:00.565","674.390249E-6"
"0d 00:00:00.566","714.477267E-6"
"0d 00:00:00.567","849.676013E-6"
"0d 00:00:00.568","1.014919E-3"
"0d 00:00:00.569","1.180753E-3"
"0d 00:00:00.570","1.413764E-3"
"0d 00:00:00.571","1.835563E-3"
"0d 00:00:00.572","2.469107E-3"
"0d 00:00:00.573","3.139869E-3"
"0d 00:00:00.574","3.575509E-3"
"0d 00:00:00.575","3.626230E-3"
"0d 00:00:00.576","3.342076E-3"
"0d 00:00:00.577","2.878586E-3"
"0d 00:00:00.578","2.377034E-3"
"0d 00:00:00.579","1.907720E-3"
"0d 00:00:00.580","1.525754E-3"
"0d 00:00:00.581","1.300423E-3"
"0d 00:00:00.582","1.246073E-3"
"0d 00:00:00.583","1.294178E-3"
"0d 00:00:00.584","1.336206E-3"
"0d 00:00:00.585","1.307259E-3"
"0d 00:00:00.586","1.268016E-3"
"0d 00:00:00.587","1.356207E-3"
"0d 00:00:00.588","1.631584E-3"
"0d 00:00:00.589","1.989835E-3"
"0d 00:00:00.590","2.230779E-3"
"0d 00:00:00.591","2.192887E-3"
"0d 00:00:00.592","1.853877E-3"
"0d 00:00:00.593","1.341438E-3"
"0d 00:00:00.594","829.083945E-6"
"0d 00:00:00.595","415.723484E-6"
"0d 00:00:00.596","99.500201E-6"
"0d 00:00:00.597","-137.983739E-6"
"0d 00:00:00.598","-264.743112E-6"
"0d 00:00:00.599","-255.797377E-6"
"0d 00:00:00.600","-168.534267E-6"
"0d 00:00:00.601","-134.354809E-6"
"0d 00:00:00.602","-237.146364E-6"
"0d 00:00:00.603","-403.570788E-6"
"0d 00:00:00.604","-501.467508E-6"
"0d 00:00:00.605","-485.348307E-6"
"0d 00:00:00.606","-432.771017E-6"
"0d 00:00:00.607","-489.399206E-6"
"0d 00:00:00.608","-737.516754E-6"
"0d 00:00:00.609","-1.146236E-3"
"0d 00:00:00.610","-1.612258E-3"
"0d 00:00:00.611","-2.003338E-3"
"0d 00:00:00.612","-2.255591E-3"
"0d 00:00:00.613","-2.399736E-3"
"0d 00:00:00.614","-2.476703E-3"
"0d 00:00:00.615","-2.486492E-3"
"0d 00:00:00.616","-2.419821E-3"
"0d 00:00:00.617","-2.339310E-3"
"0d 00:00:00.618","-2.320912E-3"
"0d 00:00:00.619","-2.328423E-3"
"0d 00:00:00.620","-2.270276E-3"
"0d 00:00:00.621","-2.114147E-3"
"0d 00:00:00.622","-1.899872E-3"
"0d 00:00:00.623","-1.697664E-3"
"0d 00:00:00.624","-1.593185E-3"
"0d 00:00:00.625","-1.644074E-3"
"0d 00:00:00.626","-1.814212E-3"
"0d 00:00:00.627","-2.020470E-3"
"0d 00:00:00.628","-2.210103E-3"
"0d 00:00:00.629","-2.357117E-3"
"0d 00:00:00.630","-2.446996E-3"
"0d 00:00:00.631","-2.471555E-3"
"0d 00:00:00.632","-2.432818E-3"
"0d 00:00:00.633","-2.349184E-3"
"0d 00:00:00.634","-2.221412E-3"
"0d 00:00:00.635","-2.036421E-3"
"0d 00:00:00.636","-1.781805E-3"
"0d 00:00:00.637","-1.471995E-3"
"0d 00:00:00.638","-1.212907E-3"
"0d 00:00:00.639","-1.111972E-3"
"0d 00:00:00.640","-1.154506E-3"
"0d 00:00:00.641","-1.261771E-3"
"0d 00:00:00.642","-1.338147E-3"
"0d 00:00:00.643","-1.308103E-3"
"0d 00:00:00.644","-1.172904E-3"
"0d 00:00:00.645","-960.063004E-6"
"0d 00:00:00.646","-671.858437E-6"
"0d 00:00:00.647","-310.400117E-6"
